ID,D,error
a1_left,0.08314005062365096,0.723073879189352
a3_left,0.05340846958841609,0.8543520361959345
a1_right,0.24011027260532264,0.5011317751904465
a2_left,0.2196109495487742,0.5077207342650302
a3_right,0.1598728095005652,0.5185125853069803
a4_right,0.07342958901576185,0.4733092168248941
a4_left,0.06460262436597553,0.46668268255511025
a2_right,0.0580593429242642,0.8477699001812858
